SpeciesId;BreedId;PetType;Name;Icon;BaseHealth;BasePower;BaseSpeed;Level25Health;Level25Power;Level25Speed
39 ;11 ;Mechanical;Mechanical Squirrel;inv_pet_mechanicalsquirrel;8.9;7.9;8.9;1546 ;257 ;289 
39 ;21 ;Mechanical;Mechanical Squirrel;inv_pet_mechanicalsquirrel;8.9;7.9;8.9;1546 ;257 ;289 
40 ;8 ;Beast;Bombay Cat;inv_pet_cats_bombaycat;7;9.4;9.4;1238 ;305 ;305 
40 ;18 ;Beast;Bombay Cat;inv_pet_cats_bombaycat;7;9.4;9.4;1238 ;305 ;305 
41 ;4 ;Beast;Cornish Rex Cat;inv_pet_cats_cornishrexcat;7;10.5;8.5;1238 ;341 ;276 
42 ;7 ;Beast;Black Tabby Cat;inv_pet_cats_blacktabbycat;7.4;9.9;8.5;1303 ;322 ;276 
43 ;3 ;Beast;Orange Tabby Cat;inv_pet_cats_orangetabbycat;7.5;9.5;8.5;1319 ;309 ;276 
43 ;13 ;Beast;Orange Tabby Cat;inv_pet_cats_orangetabbycat;7.5;9.5;8.5;1319 ;309 ;276 
44 ;5 ;Beast;Siamese Cat;inv_pet_cats_siamesecat;7;8.5;10.5;1238 ;276 ;341 
44 ;15 ;Beast;Siamese Cat;inv_pet_cats_siamesecat;7;8.5;10.5;1238 ;276 ;341 
45 ;3 ;Beast;Silver Tabby Cat;inv_pet_cats_silvertabbycat;7.5;9;9;1319 ;293 ;293 
46 ;12 ;Beast;White Kitten;inv_pet_cats_whitekitten;8.4;7.9;9.4;1465 ;257 ;306 
46 ;22 ;Beast;White Kitten;inv_pet_cats_whitekitten;8.4;7.9;9.4;1465 ;257 ;306 
47 ;3 ;Flying;Cockatiel;inv_feather_08;8.5;8;9;1481 ;260 ;293 
47 ;5 ;Flying;Cockatiel;inv_feather_08;8;7.5;10.5;1400 ;244 ;341 
47 ;13 ;Flying;Cockatiel;inv_feather_08;8.5;8;9;1481 ;260 ;293 
47 ;15 ;Flying;Cockatiel;inv_feather_08;8;7.5;10.5;1400 ;244 ;341 
49 ;3 ;Flying;Hyacinth Macaw;inv_feather_08;9.5;7.5;8.5;1644 ;244 ;276 
50 ;11 ;Flying;Green Wing Macaw;inv_feather_12;9.4;8.4;7.9;1628 ;273 ;257 
50 ;21 ;Flying;Green Wing Macaw;inv_feather_12;9.4;8.4;7.9;1628 ;273 ;257 
51 ;3 ;Flying;Senegal;inv_feather_11;9;8.5;8;1563 ;276 ;260 
51 ;5 ;Flying;Senegal;inv_feather_11;8.5;8;9.5;1481 ;260 ;309 
51 ;13 ;Flying;Senegal;inv_feather_11;9;8.5;8;1563 ;276 ;260 
